TIME,VALUE,POSITION
14:52:32,0,D100
14:52:33,0,D100
14:52:34,0,D100
14:52:34,0,D100
14:52:35,0,D100
14:52:36,0,D100
14:52:37,0,D100
14:52:37,0,D100
14:52:38,0,D100
14:52:39,0,D100
14:52:39,0,D100
14:52:40,0,D100
14:52:40,0,D100
14:52:41,0,D100
14:52:41,0,D100
14:52:42,0,D100
14:52:42,0,D100
14:52:43,0,D100
14:52:44,0,D100
14:52:44,0,D100
14:52:45,0,D100
14:52:45,0,D100
14:52:46,0,D100
14:52:47,0,D100
14:52:47,0,D100
14:52:48,0,D100
14:52:48,0,D100
14:52:49,0,D100
14:52:49,0,D100
14:52:50,0,D100
14:52:51,0,D100
14:52:52,0,D100
14:52:52,0,D100
14:52:53,0,D100
14:52:54,0,D100
14:52:54,0,D100
14:52:55,0,D100
14:52:55,0,D100
14:52:56,0,D100
14:52:57,0,D100
14:52:57,0,D100
14:52:58,0,D100
14:52:58,0,D100
14:53:00,0,D100
14:53:00,0,D100
14:53:01,0,D100
14:53:01,0,D100
14:53:02,0,D100
14:53:02,0,D100
14:53:03,0,D100
15:52:01,0,D100
15:52:02,0,D100
15:52:02,0,D100
15:52:03,0,D100
15:52:03,0,D100
15:52:04,0,D100
15:52:05,0,D100
15:52:05,0,D100
15:52:06,0,D100
15:52:06,0,D100
15:52:19,0,D100
15:52:19,0,D100
15:52:20,0,D100
15:52:20,0,D100
15:52:21,0,D100
15:52:21,0,D100
15:52:22,0,D100
15:52:22,0,D100
15:52:23,0,D100
15:52:23,0,D100
15:52:24,0,D100
15:52:25,0,D100
15:52:25,0,D100
15:52:26,0,D100
15:52:27,0,D100
16:06:48,0,D100
16:06:48,0,D100
16:06:49,0,D100
16:06:49,0,D100
16:06:50,0,D100
16:06:51,0,D100
16:06:51,0,D100
16:06:52,0,D100
16:06:52,0,D100
16:06:53,0,D100
16:06:53,0,D100
16:06:54,0,D100
16:06:54,0,D100
16:06:55,0,D100
