14:13:03:741-[Safety Thread]: Start.
14:13:03:742-[SeqThread]: Start.
14:13:03:756-[SeqLoad.Auto]: 0
14:13:03:771-[SeqLoad.Auto]: 1
14:13:03:786-[SeqLoad.Auto]: 2
14:13:03:802-[SeqLoad.Auto]: 3
14:13:03:818-[SeqLoad.Auto]: 4
14:14:40:010-[Safety Thread]: Start.
14:14:40:011-[SeqThread]: Start.
14:14:40:036-[SeqLoad.Auto]: 0
14:14:40:051-[SeqLoad.Auto]: 1
14:14:40:066-[SeqLoad.Auto]: 2
14:14:40:081-[SeqLoad.Auto]: 3
14:14:40:097-[SeqLoad.Auto]: 4
14:14:44:263-[Safety Thread]: Stop.
14:14:44:264-[SeqThread]: Stop.
14:15:08:900-[Safety Thread]: Start.
14:15:08:902-[SeqThread]: Start.
14:15:08:923-[SeqLoad.Auto]: 0
14:15:08:939-[SeqLoad.Auto]: 1
14:15:08:955-[SeqLoad.Auto]: 2
14:15:08:970-[SeqLoad.Auto]: 3
14:15:08:985-[SeqLoad.Auto]: 4
14:16:37:990-[Safety Thread]: Start.
14:16:37:991-[SeqThread]: Start.
14:16:38:013-[SeqLoad.Auto]: 0
14:16:38:028-[SeqLoad.Auto]: 1
14:16:38:044-[SeqLoad.Auto]: 2
14:16:38:055-[SeqLoad.Auto]: 3
14:16:38:074-[SeqLoad.Auto]: 4
14:19:12:128-[Safety Thread]: Start.
14:19:12:129-[SeqThread]: Start.
14:19:12:145-[SeqLoad.Auto]: 0
14:19:12:160-[SeqLoad.Auto]: 1
14:19:12:176-[SeqLoad.Auto]: 2
14:19:12:191-[SeqLoad.Auto]: 3
14:19:12:206-[SeqLoad.Auto]: 4
14:19:56:757-[Safety Thread]: Start.
14:19:56:759-[SeqThread]: Start.
14:19:56:783-[SeqLoad.Auto]: 0
14:19:56:798-[SeqLoad.Auto]: 1
14:19:56:813-[SeqLoad.Auto]: 2
14:19:56:827-[SeqLoad.Auto]: 3
14:19:56:844-[SeqLoad.Auto]: 4
14:19:56:854-[SeqLoad.Auto]: 0
14:19:56:874-[SeqLoad.Auto]: 1
14:19:56:889-[SeqLoad.Auto]: 2
14:19:56:906-[SeqLoad.Auto]: 3
14:19:56:921-[SeqLoad.Auto]: 4
14:19:56:932-[SeqLoad.Auto]: 0
14:19:56:943-[SeqLoad.Auto]: 1
14:19:56:954-[SeqLoad.Auto]: 2
14:19:56:965-[SeqLoad.Auto]: 3
14:19:56:976-[SeqLoad.Auto]: 4
14:19:56:987-[SeqLoad.Auto]: 0
14:19:56:998-[SeqLoad.Auto]: 1
14:19:57:009-[SeqLoad.Auto]: 2
14:19:57:020-[SeqLoad.Auto]: 3
14:19:57:032-[SeqLoad.Auto]: 4
14:19:57:043-[SeqLoad.Auto]: 0
14:19:57:054-[SeqLoad.Auto]: 1
14:19:57:065-[SeqLoad.Auto]: 2
14:19:57:076-[SeqLoad.Auto]: 3
14:19:57:087-[SeqLoad.Auto]: 4
14:19:57:098-[SeqLoad.Auto]: 0
14:19:57:109-[SeqLoad.Auto]: 1
14:19:57:120-[SeqLoad.Auto]: 2
14:19:57:131-[SeqLoad.Auto]: 3
14:19:57:142-[SeqLoad.Auto]: 4
14:19:57:152-[SeqLoad.Auto]: 0
14:19:57:163-[SeqLoad.Auto]: 1
14:19:57:174-[SeqLoad.Auto]: 2
14:19:57:193-[SeqLoad.Auto]: 3
14:19:57:204-[SeqLoad.Auto]: 4
14:19:57:215-[SeqLoad.Auto]: 0
14:19:57:226-[SeqLoad.Auto]: 1
14:19:57:237-[SeqLoad.Auto]: 2
14:19:57:248-[SeqLoad.Auto]: 3
14:19:57:259-[SeqLoad.Auto]: 4
14:19:57:270-[SeqLoad.Auto]: 0
14:19:57:281-[SeqLoad.Auto]: 1
14:19:57:292-[SeqLoad.Auto]: 2
14:19:57:303-[SeqLoad.Auto]: 3
14:19:57:314-[SeqLoad.Auto]: 4
14:19:57:325-[SeqLoad.Auto]: 0
14:19:57:336-[SeqLoad.Auto]: 1
14:19:57:347-[SeqLoad.Auto]: 2
14:19:57:358-[SeqLoad.Auto]: 3
14:19:57:369-[SeqLoad.Auto]: 4
14:19:57:380-[SeqLoad.Auto]: 0
14:19:57:391-[SeqLoad.Auto]: 1
14:19:57:402-[SeqLoad.Auto]: 2
14:19:57:413-[SeqLoad.Auto]: 3
14:19:57:424-[SeqLoad.Auto]: 4
14:19:57:435-[SeqLoad.Auto]: 0
14:19:57:446-[SeqLoad.Auto]: 1
14:19:57:456-[SeqLoad.Auto]: 2
14:19:57:467-[SeqLoad.Auto]: 3
14:19:57:478-[SeqLoad.Auto]: 4
14:19:57:489-[SeqLoad.Auto]: 0
